"answer","stimuli type",
"1","bottomfix",
"1","inclinationdown",
"1","inclinationup",
"1","updown",
"1","bottomfix",
"1","topfix",
"4","downup",
"5","practice",
"4","updown",
"1","bottomfix",
"5","inclinationdown",
"3","downup",
"1","inclinationup",
"1","topfix",
"1","bottomfix",
"2","downup",
"1","topfix",
"1","inclinationup",
"5","inclinationdown",
"5","updown",
"2","practice",
"1","downup",
"1","bottomfix",
"1","topfix",
"1","inclinationup",
"1","inclinationdown",
"2","updown",
"1","updown",
"1","inclinationdown",
"1","inclinationup",
"1","bottomfix",
"3","downup",
"1","topfix",
"5","practice",
"5","inclinationdown",
"1","bottomfix",
"4","topfix",
"4","updown",
"4","downup",
"2","inclinationup",
"2","bottomfix",
"2","topfix",
"4","inclinationup",
"5","inclinationdown",
"1","updown",
"1","downup",
"4","practice",
"1","updown",
"4","inclinationdown",
"2","inclinationup",
"2","bottomfix",
"2","downup",
"1","topfix",
"1","bottomfix",
"4","inclinationdown",
"2","updown",
"2","inclinationup",
"2","downup",
"2","topfix",
"4","practice",
"3","inclinationup",
"4","inclinationdown",
"1","topfix",
"3","updown",
"3","downup",
"1","bottomfix",
"4","updown",
"1","topfix",
"2","inclinationup",
"2","bottomfix",
"4","inclinationdown",
"3","downup",
"2","practice",
"2","topfix",
"4","updown",
"2","inclinationup",
"3","inclinationdown",
"2","bottomfix",
"2","downup",
"2","topfix",
"2","bottomfix",
"4","updown",
"2","inclinationdown",
"1","inclinationup",
"2","downup",
"4","practice",
"1","downup",
"4","inclinationdown",
"1","bottomfix",
"1","updown",
"1","topfix",
"2","inclinationup",
"4","inclinationdown",
"2","downup",
"2","topfix",
"3","bottomfix",
"2","updown",
"4","inclinationup",
"5","practice",
"5","downup",
"5","inclinationdown",
"1","inclinationup",
"1","bottomfix",
"1","topfix",
"5","updown",
"1","bottomfix",
"1","topfix",
"5","downup",
"5","inclinationdown",
"5","updown",
"1","inclinationup",
"4","practice",
"2","topfix",
"2","inclinationup",
"4","updown",
"4","inclinationdown",
"5","downup",
"1","bottomfix",
"3","inclinationdown",
"4","updown",
"1","bottomfix",
"1","topfix",
"3","inclinationup",
"1","downup",
"4","practice",
"2","bottomfix",
"4","topfix",
"4","inclinationdown",
"2","updown",
"2","inclinationup",
"5","downup",
"5","updown",
"2","inclinationup",
"5","downup",
"5","topfix",
"2","bottomfix",
"4","inclinationdown",
"5","practice",
"1","inclinationup",
"1","updown",
"4","inclinationdown",
"1","topfix",
"1","downup",
"1","bottomfix",
"1","topfix",
"5","inclinationdown",
"1","inclinationup",
"2","downup",
"1","bottomfix",
"2","updown",
"4","practice",
"1","bottomfix",
"2","inclinationdown",
"1","topfix",
"4","updown",
"1","downup",
"1","inclinationup",
"1","bottomfix",
"5","updown",
"2","inclinationdown",
"1","topfix",
"4","downup",
"1","inclinationup",
"4","practice",
"2","inclinationup",
"2","updown",
"1","topfix",
"1","bottomfix",
"3","inclinationdown",
"3","downup",
"2","bottomfix",
"2","updown",
"2","downup",
"2","topfix",
"2","inclinationup",
"2","inclinationdown",
"3","practice",
"1","bottomfix",
"1","downup",
"1","topfix",
"2","inclinationup",
"5","updown",
"2","inclinationdown",
"2","bottomfix",
"4","inclinationdown",
"1","inclinationup",
"2","topfix",
"2","downup",
"2","updown",
"4","practice",
"5","downup",
"2","topfix",
"4","inclinationup",
"1","inclinationdown",
"5","updown",
"2","bottomfix",
"5","downup",
"2","bottomfix",
"1","inclinationdown",
"4","updown",
"2","inclinationup",
"4","topfix",
"4","practice",
"2","downup",
"5","inclinationdown",
"1","topfix",
"1","bottomfix",
"1","inclinationup",
"4","updown",
"5","inclinationdown",
"4","topfix",
"1","bottomfix",
"1","inclinationup",
"1","downup",
"5","updown",
"4","practice",
"1","topfix",
"1","inclinationup",
"1","bottomfix",
"4","updown",
"1","downup",
"4","inclinationdown",
"1","topfix",
"1","downup",
"1","updown",
"1","bottomfix",
"1","inclinationup",
"4","inclinationdown",
"5","practice",
"2","inclinationup",
"1","bottomfix",
"4","inclinationdown",
"5","downup",
"5","updown",
"1","topfix",
"4","downup",
"1","bottomfix",
"2","inclinationup",
"4","updown",
"4","inclinationdown",
"3","topfix",
"2","practice",
"2","downup",
"4","updown",
"1","bottomfix",
"1","topfix",
"1","inclinationdown",
"1","inclinationup",
"1","topfix",
"4","updown",
"1","inclinationup",
"4","downup",
"1","bottomfix",
"1","inclinationdown",
"4","practice",
"4","inclinationdown",
"1","updown",
"2","inclinationup",
"2","downup",
"1","topfix",
"1","bottomfix",
"2","updown",
"3","inclinationup",
"1","bottomfix",
"4","inclinationdown",
"2","downup",
"2","topfix",
"2","practice",
"1","bottomfix",
"2","inclinationup",
"3","inclinationdown",
"2","updown",
"2","downup",
"1","topfix",
"2","updown",
"1","inclinationdown",
"2","downup",
"1","bottomfix",
"1","topfix",
"1","inclinationup",
"4","practice",
"1","downup",
"2","bottomfix",
"2","inclinationup",
"3","updown",
"4","inclinationdown",
"2","topfix",
"2","bottomfix",
"4","inclinationdown",
"2","inclinationup",
"3","downup",
"2","updown",
"2","topfix",
"2","practice",
"2","inclinationup",
"2","downup",
"5","updown",
"2","topfix",
"1","bottomfix",
"1","inclinationdown",
"1","inclinationup",
"4","updown",
"5","inclinationdown",
"1","bottomfix",
"1","topfix",
"1","downup",
"3","practice",
"1","bottomfix",
"4","downup",
"1","inclinationup",
"4","updown",
"1","inclinationdown",
"1","topfix",
"1","topfix",
"1","inclinationup",
"1","bottomfix",
"4","updown",
"4","downup",
"4","inclinationdown",
"4","practice",
"1","downup",
"1","bottomfix",
"1","updown",
"2","inclinationdown",
"1","inclinationup",
"1","topfix",
"1","downup",
"1","updown",
"2","topfix",
"2","inclinationup",
"4","inclinationdown",
"1","bottomfix",
"4","practice",
"1","topfix",
"2","downup",
"4","inclinationdown",
"4","updown",
"2","inclinationup",
"1","bottomfix",
"3","inclinationup",
"1","topfix",
"4","updown",
"1","bottomfix",
"4","inclinationdown",
"2","downup",
"2","practice",
"2","bottomfix",
"1","topfix",
"1","inclinationup",
"4","updown",
"2","downup",
"2","inclinationdown",
"1","bottomfix",
"1","topfix",
"2","downup",
"1","inclinationup",
"4","updown",
"2","inclinationdown",
"5","practice",
"5","topfix",
"5","inclinationdown",
"5","downup",
"2","inclinationup",
"3","updown",
"1","bottomfix",
"4","inclinationdown",
"3","topfix",
"2","updown",
"4","bottomfix",
"2","downup",
"3","inclinationup",
"5","practice",
"5","topfix",
"5","inclinationup",
"1","downup",
"1","bottomfix",
"5","updown",
"5","inclinationdown",
"1","topfix",
"1","bottomfix",
"1","inclinationup",
"5","updown",
"4","inclinationdown",
"1","downup",
"5","practice",
"1","bottomfix",
"2","downup",
"2","updown",
"1","inclinationup",
"2","topfix",
"2","inclinationdown",
"1","inclinationdown",
"1","bottomfix",
"1","topfix",
"2","downup",
"3","updown",
"2","inclinationup",
"3","practice",
"3","updown",
"3","inclinationup",
"3","inclinationdown",
"3","downup",
"3","bottomfix",
"3","topfix",
"3","inclinationup",
"3","updown",
"3","topfix",
"3","bottomfix",
"3","inclinationdown",
"3","downup",
"4","practice",
"2","inclinationup",
"4","inclinationdown",
"1","topfix",
"4","downup",
"2","updown",
"2","bottomfix",
"2","bottomfix",
"4","downup",
"4","inclinationdown",
"2","inclinationup",
"2","topfix",
"4","updown",
"4","practice",
"2","topfix",
"2","downup",
"4","inclinationdown",
"2","updown",
"1","bottomfix",
"1","inclinationup",
"3","updown",
"2","bottomfix",
"1","topfix",
"4","inclinationdown",
"4","inclinationup",
"2","downup",
"4","practice",
"2","topfix",
"4","inclinationdown",
"2","updown",
"2","downup",
"2","bottomfix",
"1","inclinationup",
"2","bottomfix",
"2","updown",
"2","topfix",
"2","downup",
"4","inclinationdown",
"2","inclinationup",
"4","practice",
"2","inclinationup",
"3","downup",
"3","updown",
"4","inclinationdown",
"1","bottomfix",
"1","topfix",
"2","inclinationdown",
"1","topfix",
"2","inclinationup",
"3","downup",
"1","bottomfix",
"4","updown",
"3","practice",
"2","topfix",
"2","inclinationup",
"4","downup",
"4","updown",
"2","bottomfix",
"3","inclinationdown",
"3","inclinationdown",
"3","bottomfix",
"2","topfix",
"4","downup",
"5","updown",
"3","inclinationup",
